 ispLEVER Classic 1.4.00.04.27.10 Fitter Report File 
Project Name,cfa3
Project Path,C:\hw\cfa3
Project Fitted on,Sat Jan 29 00:18:18 2011

Pin,Pin_Type,Bank,GLB_Pad,Assigned,I/O_Type,Signal_Type,Signal_Name
1,GND,-,,,,,
2,TDI,-,,,,,
3,I_O,0,A8,,LVCMOS33_OD,Bidir,AD8
4,I_O,0,A9,,LVCMOS33_OD,Bidir,AD9
5,I_O,0,A10,,LVCMOS33_OD,Bidir,AD10
6,I_O,0,A11,,LVCMOS33_OD,Bidir,AD11
7,GNDIO0,-,,,,,
8,I_O,0,A12,,LVCMOS33_OD,Bidir,AD12
9,I_O,0,A13,,LVCMOS33_OD,Bidir,AD13
10,I_O,0,A14,,LVCMOS33_OD,Bidir,AD14
11,I_O,0,A15,,LVCMOS33_OD,Bidir,AD15
12,IN0,0,,*,LVCMOS33_5V,Input,CE0
13,VCCIO0,-,,,,,
14,I_O,0,B15,,LVCMOS33,Bidir,D0
15,I_O,0,B14,,LVCMOS33,Bidir,D1
16,I_O,0,B13,,LVCMOS33,Bidir,D2
17,I_O,0,B12,,LVCMOS33,Bidir,D3
18,GNDIO0,-,,,,,
19,I_O,0,B11,,LVCMOS33,Bidir,D4
20,I_O,0,B10,,LVCMOS33,Bidir,D5
21,I_O,0,B9,,LVCMOS33,Bidir,D6
22,I_O,0,B8,,LVCMOS33,Bidir,D7
23,IN1,0,,*,LVCMOS33_5V,Input,CE3
24,TCK,-,,,,,
25,VCC,-,,,,,
26,GND,-,,,,,
27,IN2,0,,*,LVCMOS33_5V,Input,DIN
28,I_O,0,B7,,LVCMOS33,Bidir,D8
29,I_O,0,B6,,LVCMOS33,Bidir,D9
30,I_O,0,B5,,LVCMOS33,Bidir,D10
31,I_O,0,B4,,LVCMOS33,Bidir,D11
32,GNDIO0,-,,,,,
33,VCCIO0,-,,,,,
34,I_O,0,B3,,LVCMOS33,Bidir,D12
35,I_O,0,B2,,LVCMOS33,Bidir,D13
36,I_O,0,B1,,LVCMOS33,Bidir,D14
37,I_O,0,B0,,LVCMOS33,Bidir,D15
38,INCLK1,0,,*,LVCMOS33_5V,Input,ICLK
39,INCLK2,1,,,,,
40,VCC,-,,,,,
41,I_O,1,C0,,LVCMOS33_OD,Output,RPLY
42,I_O,1,C1,,LVCMOS33,Output,WR
43,I_O,1,C2,,LVCMOS33,Output,RD
44,I_O,1,C3,,LVCMOS33,Output,IDE_CS
45,VCCIO1,-,,,,,
46,GNDIO1,-,,,,,
47,I_O,1,C4,,LVCMOS33,Output,FLASH_CS
48,I_O,1,C5,,LVCMOS33,Output,A10
49,I_O,1,C6,,LVCMOS33,Output,A9
50,I_O,1,C7,,LVCMOS33,Output,A8
51,GND,-,,,,,
52,TMS,-,,,,,
53,I_O,1,C8,,LVCMOS33,Output,A7
54,I_O,1,C9,,LVCMOS33,Output,A6
55,I_O,1,C10,,LVCMOS33,Output,A5
56,I_O,1,C11,,LVCMOS33,Output,A4
57,GNDIO1,-,,,,,
58,I_O,1,C12,,LVCMOS33,Output,A3
59,I_O,1,C13,,LVCMOS33,Output,A2
60,I_O,1,C14,,LVCMOS33,Output,A1
61,I_O,1,C15,,LVCMOS33,Output,A0
62,IN3,1,,*,LVCMOS33_5V,Input,DOUT
63,VCCIO1,-,,,,,
64,I_O,1,D15,,,,
65,I_O,1,D14,,,,
66,I_O,1,D13,,,,
67,I_O,1,D12,,,,
68,GNDIO1,-,,,,,
69,I_O,1,D11,,,,
70,I_O,1,D10,,,,
71,I_O,1,D9,,,,
72,I_O,1,D8,,,,
73,IN4,1,,,,,
74,TDO,-,,,,,
75,VCC,-,,,,,
76,GND,-,,,,,
77,IN5,1,,*,LVCMOS33_5V,Input,SYNC
78,I_O,1,D7,,,,
79,I_O,1,D6,,,,
80,I_O,1,D5,,,,
81,I_O,1,D4,,,,
82,GNDIO1,-,,,,,
83,VCCIO1,-,,,,,
84,I_O,1,D3,,,,
85,I_O,1,D2,,,,
86,I_O,1,D1,,,,
87,I_O/OE,1,D0,,,,
88,INCLK3,1,,,,,
89,INCLK0,0,,,,,
90,VCC,-,,,,,
91,I_O/OE,0,A0,,LVCMOS33_OD,Bidir,AD0
92,I_O,0,A1,,LVCMOS33_OD,Bidir,AD1
93,I_O,0,A2,,LVCMOS33_OD,Bidir,AD2
94,I_O,0,A3,,LVCMOS33_OD,Bidir,AD3
95,VCCIO0,-,,,,,
96,GNDIO0,-,,,,,
97,I_O,0,A4,,LVCMOS33_OD,Bidir,AD4
98,I_O,0,A5,,LVCMOS33_OD,Bidir,AD5
99,I_O,0,A6,,LVCMOS33_OD,Bidir,AD6
100,I_O,0,A7,,LVCMOS33_OD,Bidir,AD7
